textID,text,english_translations,date,Language,sentiment ground truth,textblob_score,textblob_label,vader_score,vader_label,Theme
RPL-01,"Muraho! Ese ziriya agency zijya gutwara abanyeshuri bagiye muri vacance ko zigenderaho nta bagenzi bafite,iyo abanyeshuri zibatwaye bibaho ko bishyura itike ikubye kabiri kuberako ije ishoye!!!?????","Hello! Why do those agencies that transport students on vacation operate with no passengers, and when they do transport students, they charge double the ticket price because the bus arrived empty!!!?????",08/12/2024,kinyarwanda,Neutral,-0.09765625,negative,-0.6517,negative,0
RPL-02,Transport iracyafite ibibazo Bus Nini sitwara abantu usanga kubera kuzuza Abantu ushobora kuyimaramo isaha nigice utegereje ko yuzura ibyo biba guhera 10h00-16h00 ugasanga biteje gukererwa akazi Imodoka ntoya zirakenewe muzasure Line yacyonga -Nyabugogo ,"Transportation still has problems. Large buses don't leave until full, making people wait up to an hour and a half, especially between 10:00-16:00, causing delays to work. Smaller vehicles are needed - please check the Cyonga-Nyabugogo line.",03/12/2024,kinyarwanda,Negative,0.07952380952380952,positive,-0.0649,negative,0
RPL-03,"Ariko, Iyo Abafata ibyemezo badatega mubona Aya mafr ari macye NI ugikuba 2","However, when decision-makers don't pay attention, you see these insignificant amounts are doubled.",02/12/2024,kinyarwanda,Negative,0.0,neutral,-0.2741,negative,0
RPL-04,"Thank you, RURA, for your great work in supporting and valuing customers in transportation. I want to raise a concern about Kabuga Bus Park.They don't accept MoMo payments and ask passengers to withdraw cash,especially in the evenings, despite the Government's push for a cashless.","Thank you, RURA, for your great work in supporting and valuing customers in transportation. I want to raise a concern about Kabuga Bus Park. They don't accept MoMo payments and ask passengers to withdraw cash, especially in the evenings, despite the Government's push for a cashless economy.",04/12/2024,English,Positive,0.35000000000000003,positive,0.8755,positive,0
RPL-05,Yewe ibi rwose mubisuzume kuko abaviramo munzira urakozaho card bakagukata 2 cg bikanga,"Please investigate this issue because when passengers exit along the route and tap their card, they're charged twice or the system fails.",05/12/2024,kinyarwanda,Negative,-0.5,negative,-0.3182,negative,4
RPL-06,Turarokotse wasangaga wavaga 12 kugera kimironko woshyura amwe nuvuy kabuga,We're saved! Previously you'd pay the same fare going from point 12 to Kimironko as someone traveling from Kabuga (which is much further).,03/12/2024,kinyarwanda,Positive,-0.05555555555555555,negative,0.4003,positive,0
RPL-07,Signed by Who ?,Signed by who?,02/12/2024,English,Neutral,0.0,neutral,0.0,neutral,0
RPL-08,"Muzatubarize na MTN Rwanda,Ikibazo iyo woherereje umuntu frw bakwereka ikiguza mbere yuko ushyiramo PIN,Ariko mu kubikuza bakakwereka ikiguzi umu Agent yamaze kukubikuriza,Ntagaruriro kandi ugasanga bagukase menshi💸💸Mutubarize","Please also ask MTN Rwanda about this issue: when sending money, they show you the fee before entering your PIN, but when withdrawing, the agent shows you the fee after completing the transaction with no recourse, and you find they've taken a lot of money from you 💸💸. Please inquire about this for us.",04/12/2024,kinyarwanda,Neutral,0.0,neutral,0.2023,positive,3
RPL-09,"Mubanze muzane buses zihagije, nizo mwavuze ntazihari",First bring enough buses - the ones you mentioned aren't available.,04/12/2024,kinyarwanda,Negative,0.21666666666666667,positive,0.0,neutral,0
RPL-10,Kibaya - Remera Yo nangahe nahose Remera_Nyanza,Kibaya-Remera route and also everywhere on the Remera-Nyanza route.,02/12/2024,kinyarwanda,Neutral,0.0,neutral,0.0,neutral,4
RPL-11,Nkunda urwego nkabura icyo nduha! u Rwanda ni rweme! Muzanatekereze uko intera hagati y'ikirometero n'ikindi yaba uniforme...,I love this service but can't find anything to fault! Rwanda is excellent! Please also consider making the distance between kilometers more uniform...,05/12/2024,kinyarwanda,Positive,0.7083333333333334,positive,0.8241,positive,3
RPL-12,Ibi nibyiza cyane pe gusa RURA and Rwanda police mwite kukibazo cyo gutendeka abashofeur Niba umushahara arimuke muwongere kuko bashyiramo  110 mugitondo nanimugoroba kuko baba bazi ko nta police irimo ntibyazoroha  umugenzi asohoka huzuye bigatera akavuyo nubukererwe thanks,"This is very good, but RURA and Rwanda Police should address the driver discipline issue. If their salary is low, increase it, because they drive at 110 km/h in mornings and evenings knowing there's no police presence. It becomes difficult for passengers to exit when crowded, causing chaos and delays. Thanks.",03/12/2024,kinyarwanda,Positive,0.15249999999999997,positive,-0.7053,negative,4
RPL-13,Mwiriwe neza mwadufashije ko ikarita za @Tap&Go ko zabuze basi zikaboneka ko ugera ku mu Agent wa tap&go agahita akubwirango ndaguha ishaje umpe 1k  ntanigiceri kiriho knd inshya yaraguraga 1k knd iriho na 500 yurugendo,"Good afternoon, could you help us with Tap&Go cards? They're not available on buses. When you approach a Tap&Go agent, they immediately tell you they'll give you an old card for 1,000 RWF with no balance on it, while a new one used to cost 1,000 RWF and came with 500 RWF travel credit.",03/12/2024,kinyarwanda,Negative,0.18409090909090908,positive,0.7184,positive,4
